"SFS.II.V1.V3","1.6.I.V1.V3","2.6.II.V1.V3","2.6.III.V1.V3","3.6.IV.V1.V3","4.6.V.V1.V3","WT.I.V1.V3","WT.II.V1.V3","WT.III.V1.V3","1.5.I.V1.V3","2.5.II.V1.V3","2.5.III.V1.V3","3.5.IV.V1.V3","4.5.V.V1.V3","SFS.I.V3.V5","SFS.II.V3.V5","1.6.I.V3.V5","2.6.II.V3.V5","2.6.III.V3.V5","3.6.IV.V3.V5","4.6.V.V3.V5","WT.I.V3.V5","WT.II.V3.V5","WT.III.V3.V5","1.5.I.V3.V5","2.5.II.V3.V5","2.5.III.V3.V5","3.5.IV.V3.V5","4.5.V.V3.V5"
"1124701",8,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,0
"276586",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
"27497",1,,,,2,,,,32,,1,2,4,,,,,,,,1,,,,,,,,0
"807283",3,,,,4,,,,,,1,1,,,,,,,,,2,,,,,,,,0
"543294",5,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,0
"211581",13,,,,1,,,,,,,,,,,,,,,,,,,,,,,,0
"712222",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
"1136536",3,8,19,7,33,14,,1,8,17,17,19,9,,,,,,,,,,,,,,,,0
"1925460",5,,1,,1,1,,,1,,1,,,,,,,,,,,,,,,,,,0
"509342",6,2,4,3,7,6,,,6,4,1,6,,3,1,,2,4,,3,10,,,2,4,,,1,3
"1110821",2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,0
"4484276",3,,,,,1,,,,,,,,,,,,,,,,,,,,,2,,0
"4345221",33,12,10,21,27,14,1,10,62,21,21,5,6,,,,,,,,,,,,,,,,0
"509530",1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,0
"4362556",3,1,,,,,,2,2,,,,,,2,,,,,,1,,,,,,,,0
"4082575",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
"1112552",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
"720503",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
"308017",4,,1,,3,,,,2,,2,2,,,,,1,,1,,1,,,,,,,,1
"257461",5,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,0
"4366419",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
"4378646",6,,,4,2,2,1,,1,,,,,2,,,,,,2,,,,,,,1,,0
"4465309",4,,,,,,,,,,,,,,1,,,,,,,,,,,,,,0
"1554351",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
"4428775",5,,,1,,,,,5,,,,,,,,,,,,,,,,,,,,0
"246068",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
"834418",4,,,,,,,,,,,,2,,,,,,,,,,,,,,,,0
"569190",3,,,,,,,,,,,,,,1,,,,,,,,,,,,,,0
"348270",5,,3,1,,,,,,,,,,,2,1,1,1,,,,,,,,,,,0
"697997",10,,1,,,,,,,,1,,,,,,2,,,,,,,,,,,,0
"1132969",1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,0
"4346058",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
"1106498",7,,,,2,,,,,1,,,2,1,,5,,,,1,,,,,,,1,,0
"573327",10,,,,,,,,,,,,,,1,,,,,,,,,,,,,,0
"140547",2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0
"216191",8,,1,1,5,,,,1,,1,,1,,,,,,,,,,,2,2,,,,0
"1108431",3,,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,0
"2416609",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
"4466453",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
"144752",5,,,,,,,,1,,,,,,,,,,,,,,,,,,,,0
"103167",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
"665204",1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,0
"4397593",4,,,,,,,,,,,,,,4,,,,1,,,,,,,,,2,0
"556217",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
"800127",7,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,0
"4443544",1,1,,,,,,,,2,,1,,,,,,,1,,,,,,,,,,0
"243353",6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,0
"341831",8,,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,0
"539978",1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,0
"1136701",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
